"filename", "language", "Luau", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\README.md", "Markdown", 0, 0, 12, 0, 5, 17
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\default.project.json", "JSON", 0, 151, 0, 0, 46, 197
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\sourcemap.json", "JSON", 0, 1, 0, 0, 0, 1
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\Actors\ParallelWorkerRunner.client.luau", "Luau", 5, 0, 0, 0, 2, 7
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\ClientModules\AnimationController.luau", "Luau", 5, 0, 0, 0, 4, 9
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\ClientModules\InputManager.luau", "Luau", 115, 0, 0, 3, 45, 163
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\ClientModules\LoadingController.luau", "Luau", 57, 0, 0, 2, 28, 87
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\ClientModules\ScreenCulling.luau", "Luau", 66, 0, 0, 9, 30, 105
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\Effects\EffectBase.luau", "Luau", 10, 0, 0, 1, 5, 16
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\UI\AutoStroke.luau", "Luau", 73, 0, 0, 0, 28, 101
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\UI\Button\UIButton.luau", "Luau", 34, 0, 0, 0, 14, 48
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\UI\Button\UIButtonAnimator.luau", "Luau", 23, 0, 0, 0, 8, 31
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\UI\FollowMouse.luau", "Luau", 19, 0, 0, 0, 6, 25
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\UI\MenuBar.luau", "Luau", 16, 0, 0, 0, 5, 21
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\UI\ObbyChoice.luau", "Luau", 12, 0, 0, 1, 6, 19
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\UI\Screens\ObbyChoiceScreen.luau", "Luau", 10, 0, 0, 1, 7, 18
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\UI\Screens\Screen.luau", "Luau", 24, 0, 0, 0, 8, 32
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\UI\Spinner.luau", "Luau", 24, 0, 0, 0, 8, 32
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\UI\UITheme.luau", "Luau", 43, 0, 0, 3, 14, 60
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\Unorganized\Animator.luau", "Luau", 105, 0, 0, 1, 36, 142
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\Unorganized\Camera.luau", "Luau", 17, 0, 0, 0, 8, 25
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\Unorganized\Laser.luau", "Luau", 86, 0, 0, 1, 41, 128
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\Unorganized\LaserReflectionPart.luau", "Luau", 5, 0, 0, 0, 5, 10
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\init.client.luau", "Luau", 3, 0, 0, 0, 1, 4
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\Proto.luau", "Luau", 441, 0, 0, 1, 159, 601
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoClasses.luau", "Luau", 237, 0, 0, 5, 106, 348
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoClasses\ProtoObject.luau", "Luau", 165, 0, 0, 4, 68, 237
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoClasses\ProtoState.luau", "Luau", 12, 0, 0, 0, 8, 20
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoClasses\ProtoTemplate.luau", "Luau", 25, 0, 0, 0, 15, 40
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoClasses\ProtoWorker.luau", "Luau", 116, 0, 0, 1, 63, 180
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoDeclarative.luau", "Luau", 391, 0, 0, 16, 173, 580
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoNetwork.luau", "Luau", 219, 0, 0, 4, 77, 300
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoParallel.luau", "Luau", 156, 0, 0, 5, 73, 234
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoPlayerUtil.luau", "Luau", 122, 0, 0, 0, 43, 165
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoUIStory.luau", "Luau", 37, 0, 0, 0, 12, 49
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoValues.luau", "Luau", 63, 0, 0, 0, 36, 99
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Actors\ParallelWorkerRunner.server.luau", "Luau", 5, 0, 0, 0, 2, 7
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Classes\CharacterClasses\CharacterCollisionGroup.luau", "Luau", 22, 0, 0, 0, 11, 33
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Classes\CharacterClasses\DestroyOnDeath.luau", "Luau", 12, 0, 0, 0, 6, 18
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Classes\CharacterClasses\DisableCharacterCollision.luau", "Luau", 10, 0, 0, 0, 9, 19
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Classes\CharacterClasses\ObbyCharacterManager.luau", "Luau", 8, 0, 0, 1, 5, 14
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Classes\CharacterClasses\TeleportOnStart.luau", "Luau", 12, 0, 0, 0, 6, 18
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Classes\ObbyLevel.luau", "Luau", 34, 0, 0, 1, 16, 51
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Classes\PlayerClasses\CharacterLoader.luau", "Luau", 10, 0, 0, 0, 4, 14
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Classes\PlayerClasses\HungerGamesPlayerManager.luau", "Luau", 8, 0, 0, 2, 6, 16
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Classes\TeleportPoint.luau", "Luau", 23, 0, 0, 0, 11, 34
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Modules\GameManager.luau", "Luau", 5, 0, 0, 1, 4, 10
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Modules\PlayerManagement\Banlist.luau", "Luau", 13, 0, 0, 1, 6, 20
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Modules\PlayerManagement\DataTemplate.luau", "Luau", 7, 0, 0, 0, 5, 12
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Modules\PlayerManagement\GameDataManager.luau", "Luau", 9, 0, 0, 0, 5, 14
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Modules\PlayerManagement\LeaderStatsManager.luau", "Luau", 30, 0, 0, 1, 10, 41
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Modules\PlayerManagement\PlayerManager.luau", "Luau", 101, 0, 0, 0, 43, 144
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Modules\PlayerManagement\ProfileVersionUpdates.luau", "Luau", 21, 0, 0, 1, 8, 30
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Modules\ProfileService.luau", "Luau", 1890, 0, 0, 178, 348, 2416
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Modules\ServerUIManager.luau", "Luau", 16, 0, 0, 0, 6, 22
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\RingBoxGenerator.luau", "Luau", 99, 0, 0, 4, 38, 141
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\init.server.lua", "Luau", 3, 0, 0, 0, 1, 4
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedClasses\CharacterTouchDetector.luau", "Luau", 31, 0, 0, 0, 11, 42
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedClasses\Debounce.luau", "Luau", 17, 0, 0, 0, 8, 25
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedClasses\Maid.luau", "Luau", 66, 0, 0, 0, 33, 99
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedClasses\PID.luau", "Luau", 5, 0, 0, 0, 3, 8
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedClasses\PartPool.luau", "Luau", 77, 0, 0, 0, 29, 106
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedClasses\PartPoolWithVariations.luau", "Luau", 38, 0, 0, 2, 20, 60
"c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedClasses\PrioritySignal.luau", "Luau", 54, 0, 0, 0, 29, 83
